Judul,Deskripsi,Status,Link
"Menyesatkan, Artikel Berjudul Video Detik-Detik Jasad Eril Diangkat dari Pintu Air Engehalde Swiss","
Sebuah situs yang beralamat di  www.irshof.my.id  memuat artikel berjudul  Video Detik-Detik Jasad Eril Di Angkat Dari Pintu Air Engehalde Swiss. Artikel itu menyertakan dua foto Sungai Aare Swiss dan foto seorang pria tenggelam.
Di bagian tengah artikel memuat dua tautan yang diklaim sebagai video pengangkatan jazad Eril. Eril atau  Emmeril Khan Mumtadz  merupakan anak Gubernur Jawa Barat Ridwan kamil yang hilang di sungai Aare pada 26 Mei 2022.
Artikel juga memuat informasi bahwa jasad Eril ditemukan pada pukul 06.50 waktu Swiss atau 11.30 WIB, yang telah dikonfirmasi kebenarannya oleh Duta Besar Indonesia untuk Swiss Muliaman Hadad. Jenazah juga dipastikan adalah Eril setelah melalui tes DNA. 
Tangkapan layar unggahan artikel dengan judul video detik-detik jasad Eril diangkat dari pintu air Engehalde Swiss ",Salah [-],https://cekfakta.com/focus/9968
"Keliru, Video Jutaan Umat Muslim India Turun ke Jalan Atas Penistaan Nabi Muhamad SAW","
Sebuah video lautan orang yang memenuhi sebuah kota, dibagikan oleh sejumlah akun di media sosial pada 9 Juni 2022. Video itu diedarkan dengan judul aksi Muslim di India. 
Di Twitter, video itu dibagikan oleh  akun ini, dengan narasi, “Aksi Muslim India. Allahu Akbar, bela agama Islam sampai mati.” Di Facebook, informasi serupa juga diunggah  akun ini.
Tangkapan layar unggahan video yang diklaim sebagai aksi massa muslim di India atas penisataan Nabi Muhammad SAW",Salah [-],https://cekfakta.com/focus/9967
 Formula E Tidak Disiarkan oleh TV Nasional,"“demi menjaga perasaan E-bong, tv nasional sepakat, tidak menyiarkan E-prix secara live”",Salah [Misleading Content],https://cekfakta.com/focus/9966
 Surya Paloh Sebut Anies Baswedan adalah Kandidat Capres 2024 dari Partai Nasdem,“Surya Paloh Sebut Anies Baswedan Kandidat Capres 2024 dari Partai Nadem”,Salah [False Connection],https://cekfakta.com/focus/9965
 Ilmuwan Pembuat Virus Corona Telah Ditangkap,” Alhamdulillah.. Biang virus Corona nya sudah tertangkap”,Salah [Misleading Content],https://cekfakta.com/focus/9964
: Hanyalah Malin Kundang Yang Tidak Mau Mengakui Ibu Kandungnya,“Sampai Kapanpun Ibu Tak Akan Bisa Terganti”,Salah [Misleading Content],https://cekfakta.com/focus/9963
: Indra Kenz Dibebaskan dan Semua Asetnya Dikembalikan,“viral.!! indra kenz telah dipulangkan. semua aset nya dikembalikan. dan sempat memosting video ini melalui ig 2hari yg lalu”.,Salah [Misleading Content],https://cekfakta.com/focus/9962
 Vaksin Merupakan Praktik Depopulasi Rakyat,"“Indonesia akan menjadi pabrik vaksin M-Rna?
Kalian akan membawa kematian bagi rakyat… dan dari pejabat sampai cebong bangga..
Ini lah alasannya…
Jangan jadikan Indonesia sebagai praktek depopulasi

#FormulaE

Gubernur”

Narasi dalam video:
“Dr. robert malone, yang menciptakan vaksin messenger RNS (mRNA) telah mengatakan tidak ada yang boleh menerima suntikan ini, Dia menciptakannya! Dan dia berkata – Jangan pernah melakukannya Jadi izinkan saya menjelaskan apa yang akan terjadi pada orang-orang yang telah mengambil mereka akan mati dalam enam bulan, tiga sampai lima tahun ke depan,karena tiga alasan. menurunkan sistem kekebalan Anda sendiri sebesar 35%. Suntikan pertama melakukannya dengan setidaknya 15% Yang kedua melakukannya dengan 35% Sekarang – jika Anda mengambil suntikan booster, Anda akan mati. Anda mengambil suntikan flu dimasa depan, Anda akan mati. Alasan kedua – peningkatan yang bergantung pada antibodi dan peningkatan yang bergantung pada antibody apa yang terjadi dengan suntikan ini dengan semuaorang yang telah mengambilnya Tapi tidak mungkin kamu tahu itu Jadi mengingat fakta itupeningkatan ketergantungan antibodi menipu seluruh tubuh agar percaya bahwa sel yang memakan pathogen sedang memakannya padahal tidak, akhirnya mengarah ke apa yang disebut badai sitokin, yang menyebabkan kegagalan organ Itu akan menyebabkan kematian, dan tidak ada penghentian bahwa tidak ada jumlah obat yang akan menghentikannya. Alasan ketiga – pembekuan darah Setiap orang yang telah mengambil suntikan mendapat pembekuan darah. Jika Anda tidak percaya padauk ada cara untuk mengetahuinya Ambil apa yang disebut tes D-Dimer. Apa yang dilakukan, adalah mendeteksi pembekuan darah pada tingkat mikroskopis Kami memotong gumpalan darah penuh dari orang-orang sekarang saat saya berbicara dengan Anda. Jutaan orang telah meninggal karena suntikan Dalam pertemuan terakhir Anda [Dewan
Sekolah Ohio SW] terakhir Anda Anda menganjurkan orang-orang untuk mengambil suntikan potensial di masa depan bersama dengan memakai masker dan saya mendengar orang tua mengatakan hal yang sama Jadi untuk orang tua yang benar-benar mempertimbangkan untuk menusuk anak mereka sendiri,
Anda akan mensterilkannya secara permanen Orang yang telah mengambil suntikan disterilkan Anda tidak dapat memiliki anak. Anda juga telah menyuntikkan diri Anda dengan HIV yang setara. Anda sekarang tidak dapat lagi menyusui, mendonorkan darah, mendonorkan organ, mendonorkan plasma darah, atau sumsum tulang jika anda tidak percaya padaku”",Salah [Misleading Content],https://cekfakta.com/focus/9961
